Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
Wilcoxon (CLR).39,FALSE,0,Wilcoxon (CLR),0.078461338,0.001038998,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).40,FALSE,0,Wilcoxon (CLR),0.094599663,0.001181158,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).41,FALSE,0,Wilcoxon (CLR),0.00198065,0.000787065,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).42,FALSE,0,Wilcoxon (CLR),0.043193072,0.000110985,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).43,FALSE,0,Wilcoxon (CLR),0.038893049,0.000646382,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).44,FALSE,0,Wilcoxon (CLR),0.000310484,8.86E-06,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).45,FALSE,0,Wilcoxon (CLR),0.057949523,0.000540675,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).46,FALSE,0,Wilcoxon (CLR),0.048326889,0.002065081,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).47,FALSE,0,Wilcoxon (CLR),0.078437357,0.001356621,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).48,FALSE,0,Wilcoxon (CLR),0.060179233,0.001388438,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).49,FALSE,0,Wilcoxon (CLR),0.054137156,0.000785057,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).50,FALSE,0,Wilcoxon (CLR),0.02404015,0.000444362,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).51,FALSE,0,Wilcoxon (CLR),0.062148628,0.000192718,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).52,FALSE,0,Wilcoxon (CLR),0.010794469,0.000354922,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).53,FALSE,0,Wilcoxon (CLR),0.011574307,0.000118642,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).54,FALSE,0,Wilcoxon (CLR),0.003570827,0.00036215,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).55,FALSE,0,Wilcoxon (CLR),0.022740736,5.49E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).56,FALSE,0,Wilcoxon (CLR),0.042803863,0.00044115,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).57,FALSE,0,Wilcoxon (CLR),0.027744133,0.000152068,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).58,FALSE,0,Wilcoxon (CLR),0.005817524,0.001199308,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).59,FALSE,0,Wilcoxon (CLR),0.041413522,0.000623941,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).60,FALSE,0,Wilcoxon (CLR),0.025734297,7.56E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).61,FALSE,0,Wilcoxon (CLR),0.045418732,0.001956071,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).62,FALSE,0,Wilcoxon (CLR),0.072444713,2.39E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
