Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).411,TRUE,1.522715926,limma voom (TMMWSP),0.002807936,0.003256387,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).421,TRUE,0.811283075,limma voom (TMMWSP),0.058271848,0.000545263,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).431,FALSE,0.012481278,limma voom (TMMWSP),0.00088203,0.000204705,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).441,FALSE,0,limma voom (TMMWSP),0.030566718,0.001198186,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).451,TRUE,2.184223665,limma voom (TMMWSP),0.090022916,0.00727092,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).461,FALSE,0,limma voom (TMMWSP),0.069662989,0.028775889,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).471,FALSE,0,limma voom (TMMWSP),0.102185221,0.036706811,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).481,TRUE,0.424363455,limma voom (TMMWSP),0.004719594,0.009928776,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).491,TRUE,5.903644533,limma voom (TMMWSP),0.016499879,0.012779388,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).501,FALSE,0.012481278,limma voom (TMMWSP),0.005952477,0.015091926,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).511,FALSE,0,limma voom (TMMWSP),0.199556902,0.023873888,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).521,FALSE,0,limma voom (TMMWSP),0.005935112,0.021343697,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).531,TRUE,4.418372441,limma voom (TMMWSP),0.071771222,0.010866224,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).541,FALSE,0,limma voom (TMMWSP),0.032216349,0.021426044,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).551,FALSE,0.012481278,limma voom (TMMWSP),0.102723522,0.011898553,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).561,TRUE,9.460808787,limma voom (TMMWSP),0.098088747,0.001024885,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).571,FALSE,0.037443834,limma voom (TMMWSP),0.015364059,0.012249703,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).581,TRUE,4.88017973,limma voom (TMMWSP),0.106526357,0.016217279,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).591,TRUE,18.69695457,limma voom (TMMWSP),0.209090036,0.044105203,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).601,FALSE,0.249625562,limma voom (TMMWSP),0.091028502,0.0099801,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).611,TRUE,1.709935097,limma voom (TMMWSP),0.090847732,0.004234237,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).621,FALSE,0.024962556,limma voom (TMMWSP),0.001125133,0.009829092,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).631,FALSE,0.024962556,limma voom (TMMWSP),0.107995219,0.007393509,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).641,FALSE,0.049925112,limma voom (TMMWSP),0.075862131,0.000311213,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).651,FALSE,0.187219171,limma voom (TMMWSP),0.110285781,0.024472443,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).661,FALSE,0,limma voom (TMMWSP),0.035679018,0.003863083,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).671,FALSE,0.037443834,limma voom (TMMWSP),0.070824855,0.009891332,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).681,FALSE,0,limma voom (TMMWSP),0.017065785,0.014582199,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).691,FALSE,0.06240639,limma voom (TMMWSP),0.003582216,0.000661391,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).701,FALSE,0.06240639,limma voom (TMMWSP),0.052843869,0.023957982,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).711,FALSE,0,limma voom (TMMWSP),0.080385594,0.008661204,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).721,TRUE,0.32451323,limma voom (TMMWSP),0.10853352,0.040825284,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).731,FALSE,0.012481278,limma voom (TMMWSP),0.052003247,0.00601517,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).741,FALSE,0,limma voom (TMMWSP),0.099373723,0.032819075,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).751,TRUE,2.745881178,limma voom (TMMWSP),0.239522958,0.060765951,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).761,FALSE,0,limma voom (TMMWSP),0.01868937,0.001187367,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).771,FALSE,0,limma voom (TMMWSP),0.063333612,0.002312248,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).781,FALSE,0.249625562,limma voom (TMMWSP),0.03466475,0.004618198,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).791,FALSE,0.06240639,limma voom (TMMWSP),0.070720667,0.010596428,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).801,FALSE,0.024962556,limma voom (TMMWSP),0.030740363,0.017707371,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).811,TRUE,8.012980529,limma voom (TMMWSP),0.052722318,0.016361279,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).821,FALSE,0.137294059,limma voom (TMMWSP),0.062159947,0.000352555,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).831,FALSE,0.049925112,limma voom (TMMWSP),0.034984436,0.01067009,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).841,FALSE,0,limma voom (TMMWSP),0.016926868,0.004020235,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).851,FALSE,0,limma voom (TMMWSP),0.037191291,0.001544831,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).861,FALSE,0.287069396,limma voom (TMMWSP),0.09973682,0.022460182,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).871,TRUE,17.87319021,limma voom (TMMWSP),0.151847817,0.033949727,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).881,FALSE,0,limma voom (TMMWSP),0.063957178,0.012785623,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).891,FALSE,0,limma voom (TMMWSP),0.052914886,0.004404099,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).901,FALSE,0.024962556,limma voom (TMMWSP),0.097211838,0.019137286,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).911,FALSE,0.037443834,limma voom (TMMWSP),0.007687373,0.000813916,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).921,TRUE,1.984523215,limma voom (TMMWSP),0.136785633,0.044432426,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).931,FALSE,0.012481278,limma voom (TMMWSP),0.117962468,0.002930148,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).941,FALSE,0,limma voom (TMMWSP),0.030662223,0.006810261,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).951,FALSE,0.137294059,limma voom (TMMWSP),0.187264363,0.030919137,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).961,FALSE,0,limma voom (TMMWSP),0.021493744,0.004114713,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).971,FALSE,0,limma voom (TMMWSP),0.133111474,0.031152978,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).981,FALSE,0,limma voom (TMMWSP),0.022968171,0.028017045,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).991,FALSE,0,limma voom (TMMWSP),0.103393615,0.008841583,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
limma voom (TMMWSP).1001,TRUE,0.499251123,limma voom (TMMWSP),0.055769795,0.022015519,11820.82051,Soil - Blueberry
 Mean Depth: 11821,,,,,,,
Wilcoxon (CLR).112,FALSE,0,Wilcoxon (CLR),0.012128792,0.000480894,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).212,FALSE,0,Wilcoxon (CLR),0.113136502,0.003402052,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).312,FALSE,0,Wilcoxon (CLR),0.040888893,0.001586112,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).412,FALSE,0,Wilcoxon (CLR),0.021596201,0.000481657,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).512,FALSE,0,Wilcoxon (CLR),0.027150322,0.002020983,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).612,FALSE,0,Wilcoxon (CLR),0.024370797,0.001346388,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).712,FALSE,0,Wilcoxon (CLR),0.017900793,0.001470913,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).812,FALSE,0,Wilcoxon (CLR),0.050601128,0.002316276,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).912,FALSE,0,Wilcoxon (CLR),0.000685351,0.001046257,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).102,FALSE,0,Wilcoxon (CLR),0.083771071,0.001763234,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).113,FALSE,0,Wilcoxon (CLR),0.01049486,0.001121392,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).122,FALSE,0,Wilcoxon (CLR),0.042347667,0.001319226,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).132,FALSE,0,Wilcoxon (CLR),0.037841208,0.001336629,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).142,FALSE,0,Wilcoxon (CLR),0.037320992,0.000384826,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).152,FALSE,0,Wilcoxon (CLR),0.042758779,0.001047896,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).162,FALSE,0,Wilcoxon (CLR),0.021691831,0.001353726,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).172,FALSE,0,Wilcoxon (CLR),0.068347302,0.002268417,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).182,FALSE,0,Wilcoxon (CLR),0.00113787,0.0020199,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).192,FALSE,0,Wilcoxon (CLR),0.019542284,0.000332559,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).202,FALSE,0,Wilcoxon (CLR),0.122153363,0.003746001,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).213,FALSE,0,Wilcoxon (CLR),0.070072593,0.003480682,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).222,FALSE,0,Wilcoxon (CLR),0.015255348,0.000699427,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).232,FALSE,0,Wilcoxon (CLR),0.048668803,0.000477651,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).242,FALSE,0,Wilcoxon (CLR),0.02383645,0.001857961,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).252,FALSE,0,Wilcoxon (CLR),0.015093335,0.000157689,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).262,FALSE,0,Wilcoxon (CLR),0.019049672,0.001015558,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).272,FALSE,0,Wilcoxon (CLR),0.053430605,0.001980134,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).282,FALSE,0,Wilcoxon (CLR),0.010391671,0.000662852,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).292,FALSE,0,Wilcoxon (CLR),0.036862558,0.001873002,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).302,FALSE,0,Wilcoxon (CLR),0.001089233,0.000137453,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).313,FALSE,0,Wilcoxon (CLR),0.074611586,0.001117575,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).322,FALSE,0,Wilcoxon (CLR),0.050965904,0.001411443,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).332,FALSE,0,Wilcoxon (CLR),0.011514918,0.000608923,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).342,FALSE,0,Wilcoxon (CLR),0.077923158,0.002491085,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).352,FALSE,0,Wilcoxon (CLR),0.026535461,0.000348253,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).362,FALSE,0,Wilcoxon (CLR),0.02989337,0.000535478,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).372,FALSE,0,Wilcoxon (CLR),0.025277807,0.000898764,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).382,FALSE,0,Wilcoxon (CLR),0.036116575,0.000832934,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).392,FALSE,0,Wilcoxon (CLR),0.020630367,0.000410984,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).402,FALSE,0,Wilcoxon (CLR),0.037063348,0.001244257,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).413,FALSE,0,Wilcoxon (CLR),0.056369514,0.002843715,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).422,FALSE,0,Wilcoxon (CLR),0.055581138,0.001364294,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).432,FALSE,0,Wilcoxon (CLR),0.06751752,0.000567436,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).442,FALSE,0,Wilcoxon (CLR),0.059099416,0.000606728,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).452,FALSE,0,Wilcoxon (CLR),0.071095937,0.003540934,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).462,FALSE,0,Wilcoxon (CLR),0.051128246,0.000969995,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).472,FALSE,0,Wilcoxon (CLR),0.007437645,0.000258669,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).482,FALSE,0,Wilcoxon (CLR),0.02315915,0.000450332,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).492,FALSE,0,Wilcoxon (CLR),0.053050712,0.002513384,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).502,FALSE,0,Wilcoxon (CLR),0.019839362,0.000220307,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).513,FALSE,0,Wilcoxon (CLR),0.022504854,0.002473919,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).522,FALSE,0,Wilcoxon (CLR),0.099569803,0.00451589,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).532,FALSE,0,Wilcoxon (CLR),0.035178345,0.00060081,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).542,FALSE,0,Wilcoxon (CLR),0.014104497,0.000185174,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).552,FALSE,0,Wilcoxon (CLR),0.028655761,0.000959872,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).562,FALSE,0,Wilcoxon (CLR),0.045427557,8.69E-05,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).572,FALSE,0,Wilcoxon (CLR),0.070541215,0.002424254,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).582,FALSE,0,Wilcoxon (CLR),0.061178967,0.00311949,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).592,FALSE,0,Wilcoxon (CLR),0.056505565,0.002693607,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).602,FALSE,0,Wilcoxon (CLR),0.001520063,0.001687314,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).613,FALSE,0,Wilcoxon (CLR),0.042346681,0.000997316,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).622,FALSE,0,Wilcoxon (CLR),0.02907246,0.00078318,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).632,FALSE,0,Wilcoxon (CLR),0.032613085,0.00063409,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).642,FALSE,0,Wilcoxon (CLR),0.014061118,0.00135671,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).652,FALSE,0,Wilcoxon (CLR),0.028018225,0.002163675,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).662,FALSE,0,Wilcoxon (CLR),0.038480387,0.000484015,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).672,FALSE,0,Wilcoxon (CLR),0.045772944,0.000470354,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).682,FALSE,0,Wilcoxon (CLR),0.002831284,0.000109049,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).692,FALSE,0,Wilcoxon (CLR),0.032441213,2.81E-05,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).702,FALSE,0,Wilcoxon (CLR),0.092094858,0.002569508,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).713,FALSE,0,Wilcoxon (CLR),0.014260923,0.000291107,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).722,FALSE,0,Wilcoxon (CLR),0.139786161,0.004345338,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).732,FALSE,0,Wilcoxon (CLR),0.049621163,0.001534455,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).742,FALSE,0,Wilcoxon (CLR),0.006708094,0.000857359,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).752,FALSE,0,Wilcoxon (CLR),0.021881449,0.000564011,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).762,FALSE,0,Wilcoxon (CLR),0.021323769,0.00079831,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).772,FALSE,0,Wilcoxon (CLR),0.060267356,0.003030271,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).782,FALSE,0,Wilcoxon (CLR),0.012262544,0.001340737,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).792,FALSE,0,Wilcoxon (CLR),0.001443164,0.000989058,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).802,FALSE,0,Wilcoxon (CLR),0.034309128,0.000291956,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).813,FALSE,0,Wilcoxon (CLR),0.0017386,0.000664454,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).822,FALSE,0,Wilcoxon (CLR),0.071781452,0.002287923,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).832,FALSE,0,Wilcoxon (CLR),0.018494622,0.002197817,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).842,FALSE,0,Wilcoxon (CLR),0.00454573,0.000740612,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).852,FALSE,0,Wilcoxon (CLR),0.020273807,0.001081816,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).862,FALSE,0,Wilcoxon (CLR),0.008990735,0.00085788,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).872,FALSE,0,Wilcoxon (CLR),0.020862049,0.000644791,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).882,FALSE,0,Wilcoxon (CLR),0.07053037,0.002968718,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).892,FALSE,0,Wilcoxon (CLR),0.027236094,0.00161029,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).902,FALSE,0,Wilcoxon (CLR),0.046002654,0.001269986,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).913,FALSE,0,Wilcoxon (CLR),0.008037061,0.001134151,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).922,FALSE,0,Wilcoxon (CLR),0.017227108,0.001144406,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).932,FALSE,0,Wilcoxon (CLR),0.004482305,0.002049015,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).942,FALSE,0,Wilcoxon (CLR),0.014835363,0.000260325,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).952,FALSE,0,Wilcoxon (CLR),0.005361381,0.001824619,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).962,FALSE,0,Wilcoxon (CLR),0.004853982,0.000263523,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).972,FALSE,0,Wilcoxon (CLR),0.055570951,0.001305218,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).982,FALSE,0,Wilcoxon (CLR),0.029901585,0.002163052,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).992,FALSE,0,Wilcoxon (CLR),0.016912941,0.000634942,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
Wilcoxon (CLR).1002,FALSE,0,Wilcoxon (CLR),0.029864122,0.001610374,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).112,FALSE,0.01430385,limma voom (TMM),0.012128792,0.000480894,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).212,TRUE,91.86647356,limma voom (TMM),0.113136502,0.003402052,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).312,FALSE,0.005363944,limma voom (TMM),0.040888893,0.001586112,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).412,FALSE,0.005363944,limma voom (TMM),0.021596201,0.000481657,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).512,TRUE,0.303956802,limma voom (TMM),0.027150322,0.002020983,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).612,FALSE,0.069731266,limma voom (TMM),0.024370797,0.001346388,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).712,TRUE,0.514938583,limma voom (TMM),0.017900793,0.001470913,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).812,TRUE,57.03659997,limma voom (TMM),0.050601128,0.002316276,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).912,FALSE,0.019667793,limma voom (TMM),0.000685351,0.001046257,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).102,FALSE,0.008939906,limma voom (TMM),0.083771071,0.001763234,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).113,FALSE,0.007151925,limma voom (TMM),0.01049486,0.001121392,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).122,TRUE,68.45464786,limma voom (TMM),0.042347667,0.001319226,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
limma voom (TMM).132,TRUE,1.083516601,limma voom (TMM),0.037841208,0.001336629,28438.93224,Human - OB (1)
 Mean Depth: 28439,,,,,,,
